Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,Overhead1-Overhead2,Overhead1-Overhead2,,CPU of centertopology:(all)172.37%,CPU with center topology,CPU with direct link (all)55.06%,CPU of 0Mbps,CPU1-CPU2
0.03%,0.05%,nr-softmodem,nr-softmodem,nr_feptx_ofdm_2thread,PHY,LOW PHY,,,-0.02%,,172.37%,0.05%,55.06%,0.03%,0.02%
0.03%,0.03%,Tpool1_-1,libldpc.so,nrLDPC_decoder_core.isra.1,PHY,HIGH PHY,LDPC,0.00%,,,172.37%,0.05%,55.06%,0.02%,0.04%
0.03%,0.03%,nr-softmodem,nr-softmodem,nr_slot_select,PHY,LOW PHY,,0.00%,,,172.37%,0.05%,55.06%,0.02%,0.04%
0.03%,0%,feptx,[kernel.kallsyms],pick_next_task_fair,PHY,LOW PHY,,0.00%,,,172.37%,0.05%,55.06%,0.00%,0.05%
0.02%,0.02%,Tpool1_-1,nr-softmodem,gNB_dlsch_ulsch_scheduler,MAC,,,0.00%,,,172.37%,0.03%,55.06%,0.01%,0.02%
0.02%,0%,pdcp_timer,libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,PDCP,,,0.00%,,,172.37%,0.03%,55.06%,0.00%,0.03%
0.02%,0.02%,Tpool1_-1,nr-softmodem,fill_ul_rb_mask,PHY,HIGH PHY,,0.00%,,,172.37%,0.03%,55.06%,0.01%,0.02%
0.02%,0.38%,feprx,[kernel.kallsyms],syscall_return_via_sysret,PHY,LOW PHY,,,-0.36%,,172.37%,0.03%,55.06%,0.21%,-0.17%
0.02%,0%,Tpool2_-1,nr-softmodem,nr_generate_pdsch,PHY,,,-0.36%,,,172.37%,0.03%,55.06%,0.00%,0.03%
0.02%,0%,Tpool0_-1,libldpc.so,[.],memcpy@plt,PHY,HIGH PHY,-0.36%,,,172.37%,0.03%,55.06%,0.00%,0.03%
0.02%,0.05%,feptx,libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,PHY,LOW PHY,,,-0.03%,,172.37%,0.03%,55.06%,0.03%,0.01%
0.02%,0%,thread_FH,[kernel.kallsyms],free_one_page,PHY,LOW PHY,,-0.03%,,,172.37%,0.03%,55.06%,0.00%,0.03%
0.02%,0.03%,thread_FH,[kernel.kallsyms],ip_queue_xmit,PHY,LOW PHY,,,-0.01%,,172.37%,0.03%,55.06%,0.02%,0.02%
0.02%,0%,thread_FH,[kernel.kallsyms],tcp_data_queue,PHY,LOW PHY,,-0.01%,,,172.37%,0.03%,55.06%,0.00%,0.03%
0.02%,0%,feptx,[kernel.kallsyms],_raw_spin_unlock,PHY,LOW PHY,,-0.01%,,,172.37%,0.03%,55.06%,0.00%,0.03%
0.02%,0%,thread_FH,[kernel.kallsyms],ipv4_mtu,PHY,LOW PHY,,-0.01%,,,172.37%,0.03%,55.06%,0.00%,0.03%
