Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,Overhead1-Overhead2,Overhead1-Overhead2,,CPU1(all):72.26%,CPU1,CPU2(all)176.21%,CPU2,CPU1-CPU2
0.06%,0%,thread_FH,[kernel.kallsyms],__skb_clone,PHY,LOW PHY,,0.06%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.06%,0%,thread_FH,[kernel.kallsyms],igb_xmit_frame_ring,PHY,LOW PHY,,0.06%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.06%,0.02%,TASK_GTPV1_U,[kernel.kallsyms],aa_sk_perm,NG,,,0.04%,,,44.08%,0.03%,82.40%,0.02%,0.01%
0.06%,0.91%,feptx,[kernel.kallsyms],psi_task_change,PHY,LOW PHY,,,-0.85%,,44.08%,0.03%,82.40%,0.75%,-0.72%
0.06%,0.08%,RLC,queue,[.],RLC,,,,-0.02%,,44.08%,0.03%,82.40%,0.07%,-0.04%
0.06%,0%,Tpool1_-1,nr-softmodem,NR_UL_indication,MAC,,,0.06%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.06%,0.03%,TASK_GTPV1_U,[kernel.kallsyms],pick_next_task_fair,NG,,,0.03%,,,44.08%,0.03%,82.40%,0.02%,0.00%
0.06%,0%,Tpool3_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,,0.06%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.06%,0%,pdcp_timer,libpthread-2.27.so,__pthread_disable_asynccancel,PDCP,,,0.06%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.06%,0.03%,Tpool0_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,,0.03%,,,44.08%,0.03%,82.40%,0.02%,0.00%
0.06%,0.06%,TASK_RRC_GNB,[kernel.kallsyms],_raw_spin_lock,RRC,,,0.00%,,,44.08%,0.03%,82.40%,0.05%,-0.02%
0.06%,0%,Tpool1_-1,libdfts.so,idft1024,PHY,LOW PHY,DFT,0.06%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.06%,0%,pdcp_timer,libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,PDCP,,,0.06%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.06%,0%,TASK_GTPV1_U,[kernel.kallsyms],apparmor_socket_recvmsg,NG,,,0.06%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.06%,0%,Tpool3_-1,libldpc.so,ldpc352_byte,PHY,HIGH PHY,LDPC,0.06%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.06%,0.11%,RLC,queue,[k],RLC,,,,-0.05%,,44.08%,0.03%,82.40%,0.09%,-0.06%
0.06%,0%,Tpool1_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,,0.06%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.06%,0%,TASK_GTPV1_U,[kernel.kallsyms],udp_recvmsg,NG,,,0.06%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.06%,0.24%,thread_FH,[kernel.kallsyms],mutex_lock,PHY,LOW PHY,,,-0.18%,,44.08%,0.03%,82.40%,0.20%,-0.17%
0.06%,0.04%,thread_FH,[kernel.kallsyms],record_times,PHY,LOW PHY,,0.02%,,,44.08%,0.03%,82.40%,0.03%,-0.01%
0.06%,0%,Tpool3_-1,nr-softmodem,nr_schedule_ue_spec,MAC,,,0.06%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.06%,0%,Tpool3_-1,nr-softmodem,nr_codeword_unscrambling,PHY,HIGH PHY,,0.06%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.06%,0%,TASK_GTPV1_U,libpthread-2.27.so,__libc_recvfrom,NG,,,0.06%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.06%,0%,thread_FH,librfsimulator.so,flushInput,PHY,LOW PHY,,0.06%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.06%,0.16%,thread_FH,[kernel.kallsyms],visit_groups_merge,PHY,LOW PHY,,,-0.10%,,44.08%,0.03%,82.40%,0.13%,-0.11%
0.06%,0.02%,TASK_GTPV1_U,[kernel.kallsyms],__perf_event_task_sched_in,NG,,,0.04%,,,44.08%,0.03%,82.40%,0.02%,0.01%
0.05%,0.09%,TASK_RRC_GNB,[kernel.kallsyms],entry_SYSCALL_64,RRC,,,,-0.04%,,44.08%,0.02%,82.40%,0.07%,-0.05%
0.05%,0%,Tpool3_-1,nr-softmodem,crc24b,PHY,HIGH PHY,,0.05%,,,44.08%,0.02%,82.40%,0.00%,0.02%
